날짜,종류,분류코드
20190101,신정,1
20190105,토요일,1
20190106,일요일,1
20190112,토요일,1
20190113,일요일,1
20190119,토요일,1
20190120,일요일,1
20190126,토요일,1
20190127,일요일,1
20190201,설연휴전날,2
20190202,설날연휴,3
20190203,설날연휴,3
20190204,설날연휴,3
20190205,설날연휴,3
20190206,설날연휴,3
20190207,설연휴다음날,4
20190209,토요일,1
20190210,일요일,1
20190216,토요일,1
20190217,일요일,1
20190223,토요일,1
20190224,일요일,1
20190301,삼일절,1
20190302,토요일,1
20190303,일요일,1
20190309,토요일,1
20190310,일요일,1
20190316,토요일,1
20190317,일요일,1
20190323,토요일,1
20190324,일요일,1
20190330,토요일,1
20190331,일요일,1
20190406,토요일,1
20190407,일요일,1
20190413,토요일,1
20190414,일요일,1
20190420,토요일,1
20190421,일요일,1
20190427,토요일,1
20190428,일요일,1
20190504,토요일,1
20190505,일요일,1
20190506,어린이날대체휴일,1
20190511,토요일,1
20190512,부처님오신날,1
20190518,토요일,1
20190519,일요일,1
20190525,토요일,1
20190526,일요일,1
20190601,토요일,1
20190602,일요일,1
20190606,현충일,1
20190608,토요일,1
20190609,일요일,1
20190615,토요일,1
20190616,일요일,1
20190622,토요일,1
20190623,일요일,1
20190629,토요일,1
20190630,일요일,1
20190706,토요일,1
20190707,일요일,1
20190713,토요일,1
20190714,일요일,1
20190720,토요일,1
20190721,일요일,1
20190727,토요일,1
20190728,일요일,1
20190803,토요일,1
20190804,일요일,1
20190810,토요일,1
20190811,일요일,1
20190815,광복절,1
20190817,토요일,1
20190818,일요일,1
20190824,토요일,1
20190825,일요일,1
20190831,토요일,1
20190901,일요일,1
20190907,토요일,1
20190908,일요일,1
20190911,추석연휴전날,2
20190912,추석연휴,3
20190913,추석연휴,3
20190914,추석연휴,3
20190915,추석연휴,3
20190916,추석연휴다음날,4
20190921,토요일,1
20190922,일요일,1
20190928,토요일,1
20190929,일요일,1
20191003,개천절,1
20191005,토요일,1
20191006,일요일,1
20191009,한글날,1
20191012,토요일,1
20191013,일요일,1
20191019,토요일,1
20191020,일요일,1
20191026,토요일,1
20191027,일요일,1
20191102,토요일,1
20191103,일요일,1
20191109,토요일,1
20191110,일요일,1
20191116,토요일,1
20191117,일요일,1
20191123,토요일,1
20191124,일요일,1
20191130,토요일,1
20191201,일요일,1
20191207,토요일,1
20191208,일요일,1
20191214,토요일,1
20191215,일요일,1
20191221,토요일,1
20191222,일요일,1
20191225,성탄절,1
20191228,토요일,1
20191229,일요일,1
